timestamp,location,true_noise_type,dB_level,feedback,waveform
2025-04-07 23:14:43.047844,Casablanca - Sidi Bernoussi,Traffic,51.3,Noise is low in this area.,"[0.7983136795814293, 0.8298341830236304, 0.9006872419873924, 0.8450758858291406, 0.6095795592954039, 0.28593309309352766, 0.11978579762180297, 0.5660389970224107, 0.07556906880544623, 0.30324564718959224, 0.17781853222581956, 0.7071695176910947, 0.5144886967708807, 0.06331187970251007, 0.06842204794183215, 0.3499921528842942, 0.8204267937105008, 0.6267097702738178, 0.6242441451207613, 0.7919419400607136, 0.8231592394201354, 0.5771602949309229, 0.6287998206745471, 0.821525212113099, 0.8094410965921596, 0.06627097213120692, 0.6128483165475168, 0.28209850327796526, 0.31397487378573175, 0.7383323609968403, 0.07947250157381769, 0.8815702661522397, 0.12986710588387806, 0.316184520020648, 0.7335210772777508, 0.8019209009859036, 0.4370194565747759, 0.9191188149963135, 0.6098779419406948, 0.8224833346110184, 0.15263760496775303, 0.23373890707129674, 0.5584073534611896, 0.7777084843830918, 0.1488940144394566, 0.17864652314311724, 0.5147138294036269, 0.40281549102843417, 0.7613402742522215, 0.09270308083012946, 0.9254391446475205, 0.47984916740755335, 0.4396041544014424, 0.9333500533252461, 0.26418690795614297, 0.12478107908256686, 0.9715852887346892, 0.24457125931862944, 0.13753570937646664, 0.45450519612991147, 0.41038735245212166, 0.2685409775231019, 0.46096539242262247, 0.7285328711895827, 0.7497790920335455, 0.06409782107363315, 0.26268453774454503, 0.14371804430887158, 0.8558391656945092, 0.5978892474959797, 0.33209617672851, 0.8784635572797779, 0.3192577189380372, 0.48891874941996116, 0.21436851533888313, 0.18342906975409334, 0.37510367891999863, 0.006188303454081834, 0.38191975832670577, 0.6263399555976245, 0.2530178682972284, 0.6117791110322076, 0.4999708675907182, 0.806601249437636, 0.39118357159057815, 0.2803064219053436, 0.4174831058200108, 0.19283499286787598, 0.10457426577673523, 0.5037309371541254, 0.8455589341945686, 0.9938187295872656, 0.5665163014976595, 0.7683468191301316, 0.8484321057428738, 0.09882102890284528, 0.057084169272146434, 0.36384185422954385, 0.9449483938966855, 0.3187032768212841]"
2025-04-07 21:58:38.047940,Tangier - Centre Ville,Other,56.7,Too noisy at night! Can't sleep!,"[0.46522779294354066, 0.2124845887288752, 0.7722567894332214, 0.6337675533216324, 0.19858839641060033, 0.3192075207225771, 0.21822898814501657, 0.9765100829200549, 0.8341748337295481, 0.41719830451372797, 0.1423697790465862, 0.05037725561887341, 0.3775660180619663, 0.6229041155325085, 0.27560738050600075, 0.5111957647018398, 0.3584843743329298, 0.4570504098654845, 0.14840896377554225, 0.9301162796251556, 0.635736980413716, 0.9683297891208108, 0.9029767765113363, 0.8154891325684935, 0.3415089515143237, 0.15655167753878452, 0.34834016286427194, 0.7242923165602498, 0.9990663234178664, 0.0625592265877698, 0.6480751676263639, 0.3490296116462662, 0.05048355830933415, 0.568395719966742, 0.18733624450648945, 0.4068382541891311, 0.5653746134572121, 0.593086313913111, 0.9748342108997796, 0.5490880788383711, 0.7677079485452771, 0.8131536702867689, 0.918777872621068, 0.6511256363624071, 0.3102083036805331, 0.9016167527970496, 0.0028085675137760058, 0.22162315235942476, 0.049079618738945285, 0.4441010827033499, 0.42022838792424433, 0.23161218539929096, 0.5693004261836739, 0.6611221571052064, 0.33870489030423956, 0.5013411339986746, 0.25958623089843225, 0.5389132275896135, 0.7973932878264303, 0.06455594274728005, 0.5207445250032262, 0.40142018270233126, 0.0900986194008313, 0.19822839922665214, 0.8732154701867353, 0.6922196271788617, 0.27534821767187223, 0.2834274635360451, 0.245293427124316, 0.8007531133005535, 0.4866646783450238, 0.9168717273067123, 0.020903627744156217, 0.9802575723865621, 0.44079003613054557, 0.718091912504737, 0.03633569294656669, 0.10556873405546097, 0.7970017875725515, 0.6403865044051792, 0.18176594046377081, 0.8626564468324505, 0.6916251474937283, 0.8218175467559086, 0.4077375582572742, 0.10579665150463047, 0.9570026537930376, 0.1978094977231678, 0.4119082722715882, 0.1941795184518208, 0.334547868373101, 0.41362451719747706, 0.5559256206971867, 0.5973747313733642, 0.6502957051993086, 0.12048564064486089, 0.06910539725834153, 0.72141696874093, 0.7061756896245869, 0.23233759716205427]"
2025-04-07 23:46:51.047969,Casablanca - Maarif,Traffic,98.46,Nightlife is too loud on weekends.,"[0.3092839620203236, 0.18774426356835516, 0.25540945017854066, 0.9854303851606893, 0.02884733401525219, 0.2104200417053148, 0.6802388926335295, 0.12189590006207518, 0.8063967573818334, 0.035161518749959764, 0.08016437915473373, 0.38693391837759916, 0.6785949870925044, 0.04041127968477376, 0.03836909454451076, 0.270530739107693, 0.1289447911832613, 0.4189128876388879, 0.6836159203273086, 0.4750289096733573, 0.40938880158415336, 0.739868272159318, 0.2482859653279884, 0.5826983636500846, 0.6242158925701251, 0.8747624415988188, 0.10134505165857344, 0.3912472751481665, 0.9142972794018798, 0.8188373902065764, 0.6966563504325998, 0.5790875174187431, 0.06247847105637239, 0.7539532587836812, 0.1272201082392217, 0.047269985285280036, 0.28808662830187204, 0.7058440533621293, 0.12538798871804957, 0.3123914072764856, 0.5704084531327623, 0.09666397585410591, 0.7567930323509554, 0.44070306686272465, 0.05042411135717606, 0.8448119465206121, 0.5547754979077107, 0.27981209476012514, 0.3376679591031717, 0.1539322526295971, 0.7217951352624165, 0.5396263312646571, 0.5292893456295579, 0.6936112246138264, 0.7995398177332411, 0.7170067499289458, 0.9611813214826883, 0.5981220104479296, 0.6321892054024405, 0.32426146799985056, 0.8630640984999063, 0.1707800116909466, 0.9473908058974251, 0.016454399468241232, 0.23204648435964503, 0.026424148475119313, 0.8143941240419964, 0.5171438146084985, 0.640309246536416, 0.4519913043442283, 0.7873946349283056, 0.7829664215198089, 0.8706327987554501, 0.8181241396247717, 0.8392058175445507, 0.8106454965069777, 0.9366813154590768, 0.948258519548147, 0.2388717436985529, 0.326167445251914, 0.40265436501867335, 0.689523522978635, 0.570128397453749, 0.8543238758631875, 0.5302619734088561, 0.44031381669344605, 0.14864309239875406, 0.6696913637861098, 0.48837624908596344, 0.6701597091718776, 0.10690068764851068, 0.8758305985128284, 0.2520081348690153, 0.9799448009244309, 0.8737856556939175, 0.6476826299733391, 0.09460154161802503, 0.6511751563290721, 0.4747522959827041, 0.3917306079880606]"
2025-04-07 22:15:29.047997,Rabat - Hay Riad,Traffic,71.13,Construction noise during working hours is acceptable.,"[0.19018474160319432, 0.18106309151855138, 0.7439410102940354, 0.4429059805738542, 0.7318827311993082, 0.9278565703751495, 0.19738848765164674, 0.5462798326141007, 0.44182742814204135, 0.5144767000491384, 0.2814393967675708, 0.7918383825655324, 0.9810412677201582, 0.6997978885198283, 0.483514538354879, 0.37099019984088444, 0.7987973942720239, 0.5488711267052058, 0.07796113313031283, 0.552515653009213, 0.19909499851003842, 0.3638571739192191, 0.31688467771689843, 0.9737225623682381, 0.8932214881891711, 0.1478386707646029, 0.07137632607881428, 0.24074081635917932, 0.9152369586641833, 0.4064195345023255, 0.12017566503351007, 0.7692556516723402, 0.9957286640527672, 0.08644071726928626, 0.7784684376128019, 0.28747674313500626, 0.8901404306820677, 0.3593317609820318, 0.15391674310204428, 0.3293533913647243, 0.8809911647939179, 0.04631009446043932, 0.980265281994679, 0.561606241469297, 0.38870172157990446, 0.4841836795388761, 0.7625978190578473, 0.4696353785621866, 0.144062977691494, 0.33835702249159016, 0.8912584445987197, 0.365783763284233, 0.3065005481237466, 0.714512398191565, 0.5880219095530635, 0.18437018720989862, 0.32822607789172764, 0.2324472495880474, 0.9886961177529238, 0.5758411760045475, 0.5413385266564887, 0.7501570364455572, 0.3588372253719966, 0.43692163290018315, 0.49136479380010956, 0.08015221871328448, 0.8276012426781987, 0.4944829300398248, 0.9773875918191819, 0.07743156174818677, 0.8376683410696516, 0.7324290051927607, 0.3981727480183649, 0.5695786083109634, 0.05288312558116115, 0.7752443928580005, 0.2569558456697283, 0.017624709445344555, 0.5441137778000572, 0.8029970271290876, 0.47149621144383935, 0.2975740741153121, 0.23266533651733123, 0.04096369774236952, 0.5473843338698601, 0.14007567742293392, 0.7828804587083884, 0.4553159970349624, 0.8800663121680194, 0.7713423245987683, 0.7075449860772954, 0.33463991209783206, 0.12899781777491448, 0.048003234646026294, 0.8666955713791719, 0.6783217819698298, 0.2970010957342548, 0.6967913173209535, 0.9633328631241149, 0.04387983365524639]"
2025-04-07 21:59:43.048009,Rabat - Agdal,Traffic,74.21,Nightlife is too loud on weekends.,"[0.7767518322902691, 0.20659821789565136, 0.3116464991873944, 0.1581740179207487, 0.81413520967399, 0.5420774979753323, 0.9156894966545153, 0.0371564964175235, 0.9529454019842549, 0.9676280715735425, 0.7055189705985873, 0.853098712298338, 0.45748826866181946, 0.73115313558468, 0.6731610092784736, 0.44106105619315283, 0.4216858975917406, 0.0859302208372138, 0.80740320621359, 0.7913253527015938, 0.11673661150414816, 0.9508571786297116, 0.7097125739008131, 0.7766879639299729, 0.47755058328642397, 0.5700267401020784, 0.9805257651878085, 0.4171014731864213, 0.0488558930582732, 0.8613771390898735, 0.9327210426782683, 0.49688578042055664, 0.3322642906999854, 0.11867242017169988, 0.6556168300354765, 0.8923725526940621, 0.44556181553780616, 0.300567387342352, 0.38026036738559243, 0.1142206613455804, 0.18724223141035734, 0.8348341136778381, 0.6810242922641119, 0.8667111302494555, 0.4362618743433011, 0.21359035918590052, 0.9953493666210732, 0.4206400934714861, 0.501486856582603, 0.9093792580907306, 0.6896772392978585, 0.31650974724596104, 0.38341350484132874, 0.49026453941087655, 0.6853245513167492, 0.536639000687904, 0.4949827298343382, 0.34760698023849257, 0.060806225241658685, 0.755887136394297, 0.3320154432052569, 0.6729581800921877, 0.09505223721696554, 0.32195321930516885, 0.48072133576032294, 0.11221000452594054, 0.005130862654094015, 0.17535844417858715, 0.7285150513037404, 0.7312872323282923, 0.4672956177340938, 0.16026512452774477, 0.39387780608091094, 0.443545172403936, 0.10745264517961861, 0.7256613200303177, 0.05509265419386533, 0.4202207259510444, 0.5167293565036926, 0.4429498411054481, 0.13756229489383343, 0.24488649656967676, 0.34434035348796277, 0.15930441308828003, 0.5465196864546357, 0.4104497415428192, 0.3818918493681811, 0.5980069673129578, 0.4245483727696099, 0.8491418063574542, 0.7715549157144567, 0.8055055612265547, 0.5228935474394442, 0.012275045830287823, 0.8781896462104748, 0.7764411281662144, 0.4263815986302423, 0.598113028414927, 0.13043088798259805, 0.23214147583775246]"
2025-04-07 21:59:46.048020,Rabat - Hay Riad,Other,92.87,Too noisy at night! Can't sleep!,"[0.9898658442215104, 0.21803684713445115, 0.24426352046958055, 0.3252846305386363, 0.9810613069005262, 0.36969179851554645, 0.6236854782613391, 0.375085491482932, 0.8591839419323065, 0.11372991429561163, 0.06709064551878718, 0.6483185767095395, 0.14429268847443677, 0.9607974926676797, 0.0492682379214493, 0.641571395989022, 0.262667108148518, 0.4515153677471824, 0.8386754839940758, 0.019580417903843017, 0.45081040378953785, 0.434126558047094, 0.5497029379394098, 0.640697747138043, 0.9526791192927629, 0.6173947883282215, 0.03160284689734405, 0.6609424661153384, 0.4889408963493098, 0.10359946318156044, 0.0004889848586587808, 0.06297491538088706, 0.31860513155079706, 0.4908769271973358, 0.6193119689359153, 0.8685599100257024, 0.6337505216235563, 0.299941283744553, 0.14288204398466686, 0.08993061378860123, 0.3206560847462213, 0.5648399433489448, 0.3526601005961325, 0.2607082512407922, 0.3539244740785865, 0.8674148676674841, 0.5530370847758387, 0.5861747308988654, 0.7466661046548965, 0.641015137859913, 0.9709807343621076, 0.28903435810455225, 0.05773648803894249, 0.2969622033332914, 0.07347895550939376, 0.3728582588092503, 0.12699954391429846, 0.9898876662397529, 0.7754638027400966, 0.40163293953876356, 0.5413421394198936, 0.7348129217731043, 0.04921512215978441, 0.4803214547940309, 0.5245478593193249, 0.8730121187712173, 0.9669187150652587, 0.7167216510862585, 0.336220823411425, 0.9550548518668928, 0.37729580635172366, 0.8139437747125303, 0.25881927388963877, 0.32298634179517083, 0.14488625724575643, 0.6674142250978514, 0.7324524115212423, 0.13434884139765368, 0.2686799451887738, 0.2557532111212599, 0.24790696469553808, 0.29183027773809356, 0.7811449410725422, 0.5639036089899077, 0.9039740582531929, 0.6973857915365779, 0.49131918003203534, 0.7471056207551292, 0.3727628964269637, 0.4969215026818864, 0.7412357519597158, 0.004801255104861624, 0.22059703066079173, 0.10517440221815166, 0.5173288404368521, 0.1278776035943503, 0.7759063302583097, 0.2680206270922436, 0.8210286848721422, 0.8575429690662776]"
2025-04-07 23:50:20.048029,Casablanca - Sidi Bernoussi,Nightlife,55.75,Nightlife is too loud on weekends.,"[0.01627535101726063, 0.432465532763028, 0.4685697789575398, 0.21715768443728667, 0.5153430627372074, 0.6343118449591417, 0.055050371517616825, 0.43358840010953525, 0.12265870175667182, 0.537787890421033, 0.4511515098978227, 0.592700189594087, 0.003984877200450376, 0.6670477860057278, 0.22535797259148893, 0.5423328706923857, 0.8621975387537123, 0.1493856953608692, 0.23976117437114808, 0.5034899985630591, 0.6853599506327895, 0.31222125833504266, 0.6309927872836114, 0.4185615373985774, 0.676610952299493, 0.1289294840724865, 0.9546914316482743, 0.1995709350471223, 0.9836505369325209, 0.6277256183535294, 0.4120249394995892, 0.8981084779501243, 0.3328073567153711, 0.9231619902932394, 0.2982535165812945, 0.7331322177933189, 0.1420685812153729, 0.4417925871391345, 0.7757518107947068, 0.9372488750872784, 0.9251254548567996, 0.9885989901167721, 0.2663358385717629, 0.05607970767841053, 0.5256661670687411, 0.8874997087595082, 0.5268834121286956, 0.24916622856253223, 0.8272960940124331, 0.5270584716756401, 0.8918911334181937, 0.9112413394666246, 0.8034592089020313, 0.044937455043973396, 0.8785584565133631, 0.3433361502593255, 0.3048450252680761, 0.5703170849115167, 0.7672080986600105, 0.650673298501064, 0.4489001843005017, 0.23642083408057124, 0.8708396067742457, 0.6442781896632124, 0.7956277854190537, 0.1118638453401598, 0.7971766121945144, 0.1160233981598594, 0.6528859723208547, 0.8340040071886798, 0.010743009940007209, 0.455537036074359, 0.9817388600349043, 0.6003535590891161, 0.42765827634513165, 0.8740815845214558, 0.48317209732647903, 0.48290834560624507, 0.9425589615402654, 0.6474570128712023, 0.45568736236162866, 0.8876314822182781, 0.21694198385954844, 0.04367768676620176, 0.8030500169584271, 0.5106038370383628, 0.11051432847379017, 0.9320752843744643, 0.13715586605076435, 0.175187616057367, 0.29103785952015615, 0.4325265333769356, 0.6877129115074824, 0.4165155231993466, 0.9213083307081323, 0.33310536532969526, 0.6846622625849536, 0.2752393532144084, 0.9547502172380615, 0.6009901356022931]"
2025-04-07 22:11:56.048041,Casablanca - Maarif,Industrial,71.97,Too noisy at night! Can't sleep!,"[0.4988186825262061, 0.2569560598601034, 0.36225710731596206, 0.651070806506676, 0.8751269540028002, 0.32806418403499227, 0.25168107381299376, 0.5622826154966191, 0.1266960847358316, 0.19588849010647047, 0.12089220238128029, 0.7853316964457879, 0.9197800035072423, 0.3533022954972028, 0.2814089720243821, 0.946586944309242, 0.8658462359426453, 0.9454764408829069, 0.030382935096574637, 0.27954832927869566, 0.5054968120476445, 0.5831537764174404, 0.7878556237152997, 0.018234391142679995, 0.3634433264507325, 0.08452002542130355, 0.2380663394592094, 0.8007386891426288, 0.7228255552464162, 0.08853372644145907, 0.1907486559895022, 0.7714542671775314, 0.01664676378742913, 0.7490087765692426, 0.24883924454091766, 0.3753976646096938, 0.16549342186590643, 0.6413077925207834, 0.8769347897974229, 0.8132896872040831, 0.8243767473137723, 0.1031129004395247, 0.5965767072333593, 0.32290392570585225, 0.4565943069571181, 0.44927300705917483, 0.5768583100524491, 0.4001254526480542, 0.1538588353370549, 0.817037928414383, 0.6672341022058553, 0.4767502111307942, 0.674380111102864, 0.3472453906233386, 0.3906775809197919, 0.06125086298707827, 0.7995200025533378, 0.23005063425338046, 0.9556859971562431, 0.40271559304722915, 0.24236904893550437, 0.27246803932200814, 0.5559223646059763, 0.7387966028952689, 0.7567817985605365, 0.6015401825418055, 0.7296690430580899, 0.2208777675261956, 0.6412331119777274, 0.45934138474831776, 0.9193939743594483, 0.558550029101672, 0.09400122246706055, 0.03533061971085816, 0.4296955427213439, 0.9037091233484974, 0.34405849276181644, 0.6978023000890249, 0.4242101843648548, 0.09690275813762028, 0.4647131181298122, 0.8293246132620841, 0.03691611754700286, 0.2381043068450378, 0.6874941573645984, 0.7051311514726314, 0.3901653450023326, 0.010917924792420264, 0.9617229107525834, 0.2651766474613779, 0.431041311762305, 0.829405433531086, 0.8923110133193843, 0.6889608398807466, 0.4895119498590895, 0.4574607507536522, 0.9095174390912169, 0.8154480935924537, 0.14132740666780952, 0.7914485912808427]"
2025-04-07 22:48:17.048060,Rabat - Hay Riad,Construction,92.23,Construction noise during working hours is acceptable.,"[0.511392710154675, 0.701469279480772, 0.6012913552824988, 0.9881366627919802, 0.36114745190191033, 0.07321074071510802, 0.8957575977031181, 0.2348642115574494, 0.4616652900053979, 0.0400159407177495, 0.7599004775536738, 0.6110173795526144, 0.5178885788631217, 0.1439767858388903, 0.2564007369457906, 0.9384210572587889, 0.6514499811535713, 0.1674789677622801, 0.8657915524486499, 0.8786362789626835, 0.561369354761411, 0.9161046519967123, 0.406559046131874, 0.31805384261374425, 0.7072195637021896, 0.8471544094975404, 0.7795178694526822, 0.9890138127176865, 0.9467106383427877, 0.28599014430696423, 0.36684161013449956, 0.43585491614696037, 0.5039868005364809, 0.19094361445036157, 0.5081613850459722, 0.36854680971237386, 0.8772191235701767, 0.3231599304993289, 0.5119748419575656, 0.1691109130012225, 0.8118911934708997, 0.6579428126827535, 0.19188988869790335, 0.7931451179918807, 0.16055235514471067, 0.8724130610604715, 0.3578360303391869, 0.5641498526696265, 0.2462908523727514, 0.560906770429651, 0.20235015223970265, 0.16166852164900292, 0.9773278736206549, 0.3752526226697357, 0.858447407606758, 0.9881695295912928, 0.35074741233527873, 0.7203493963460212, 0.592964453604278, 0.991401437095805, 0.7636574454248264, 0.8013973949455235, 0.7272406529493618, 0.5456388921603755, 0.6652388131596491, 0.5076085111595654, 0.6678991568672983, 0.9106363928852773, 0.23139624529840142, 0.5679404824492403, 0.3769800785167279, 0.3575851679515276, 0.15652925702774378, 0.3013350154695744, 0.09388719656936284, 0.46312145230685187, 0.844290740030528, 0.6138541834920669, 0.9519032715488532, 0.8165386639383263, 0.37544827851794527, 0.8701763867621203, 0.28606063267146076, 0.5666630494019664, 0.553784400550397, 0.7471535425098209, 0.1091147675575117, 0.02049794103326419, 0.6701439261847255, 0.22728263907323665, 0.8498629960229636, 0.12334772102816116, 0.16300128764300148, 0.37300584572756457, 0.326301103886236, 0.7110160965537865, 0.3311738344916143, 0.3781136690602803, 0.5993035405286998, 0.5357724618318527]"
2025-04-07 23:24:51.048136,Tangier - Centre Ville,Traffic,57.4,Construction noise during working hours is acceptable.,"[0.8201616901703446, 0.08581903673521285, 0.004738425486569775, 0.16020139220032037, 0.10960408948018785, 0.8074334554715622, 0.2394892974470948, 0.40356396358411073, 0.7834895788645899, 0.6750443488033198, 0.4773383849502225, 0.8983938462784319, 0.12253433474024777, 0.4175347431581672, 0.4943809567494559, 0.48207526930164957, 0.5493748536711904, 0.10702799994090129, 0.7103694698673135, 0.018171910532587487, 0.8228637402067598, 0.9756213014715338, 0.6036735188254265, 0.2400636702443768, 0.5525342882798918, 0.9260166400275044, 0.1399886089631056, 0.04157135953148605, 0.6463874922651718, 0.403757127165012, 0.44058634748357506, 0.4442293244758889, 0.7950682214025948, 0.833539935536642, 0.45314968953744694, 0.1588725466354053, 0.13948571714612956, 0.6390392765540027, 0.4550300647690009, 0.6565073303432158, 0.5255904226682273, 0.5323276496334057, 0.2562121351769042, 0.8173898453374594, 0.016768191372382057, 0.09405729577005639, 0.1393448042398021, 0.8687269374146014, 0.9686809465856565, 0.011473933268651315, 0.5087236660327674, 0.9675233887340431, 0.6715381966793298, 0.6215391143202508, 0.49995260635937866, 0.5796101656893549, 0.42717458256072827, 0.4445962194517471, 0.9360938952303199, 0.3019904759773422, 0.46299634066262707, 0.15426148354972158, 0.15887353899701384, 0.984500992332827, 0.2278778320113446, 0.009294351603522433, 0.5306949249948572, 0.6714996156331678, 0.9227815653124011, 0.9095136017857992, 0.06725057314737648, 0.7877142263752616, 0.04126198091018951, 0.6051526839067797, 0.6219392657403126, 0.9556633755715618, 0.9589685638212953, 0.6066394526423534, 0.4998048757745962, 0.14639169221616632, 0.7264450781256158, 0.5539099408301436, 0.03183659822999163, 0.9985479950035542, 0.3847437345666137, 0.14947668977891637, 0.19630878140589691, 0.13585560502876481, 0.13139126078481433, 0.3174056587003995, 0.5161679470208762, 0.7744516681500659, 0.01964333460202561, 0.920978599646473, 0.5934003230587063, 0.868884887216862, 0.4472620464055651, 0.3699594467219559, 0.006055261160579417, 0.11614647017588597]"
