timestamp,location,true_noise_type,dB_level,feedback,waveform
2025-04-07 22:05:01.334950,Rabat - Hay Riad,Nightlife,92.66,Construction noise during working hours is acceptable.,"[0.07981125885903761, 0.006744407175206857, 0.64448257922394, 0.5049095290620013, 0.7445963598773546, 0.2132598227184116, 0.6637555181187035, 0.9995561187524389, 0.22592908209224405, 0.28963251193758, 0.09849986443604486, 0.5251078333370647, 0.49465392500200955, 0.16278306632488493, 0.6383670264013039, 0.824404604146721, 0.6810221995319733, 0.8328919318447855, 0.8853957910510822, 0.32697511927505496, 0.8600097062426922, 0.36184566927056294, 0.983614273568215, 0.40780840146235486, 0.8660287020416212, 0.4942082155005759, 0.315908382814042, 0.5004576887377612, 0.7561406358125141, 0.7744871568596668, 0.7215186431734326, 0.6982579526663377, 0.035635648720719115, 0.11724340720961612, 0.6991713058455244, 0.914523956405175, 0.41650207388873506, 0.49833283404581474, 0.5169537520336909, 0.41550692690623126, 0.9457300388449438, 0.26420998877439783, 0.32438413194465665, 0.6440020769365332, 0.6601926702075804, 0.03394354523332943, 0.8940381600809046, 0.4509843934684953, 0.43426248860493155, 0.5422043446815512, 0.43205246593305446, 0.6883524466562745, 0.9195521412010131, 0.5671431125005804, 0.5653842209421474, 0.6947465267610342, 0.09840137636482704, 0.5557587471067525, 0.7332298925020921, 0.1997526398213716, 0.398163220950978, 0.35529272678418644, 0.04576055865986062, 0.4590934643642699, 0.13620970748476668, 0.47711328564071187, 0.04116690815497326, 0.6929134899407666, 0.5929469901844171, 0.44838327240386777, 0.8591453981425717, 0.9141051360992407, 0.2402272882390053, 0.04760913693908808, 0.4257620938776737, 0.30977487010184346, 0.07584166680199678, 0.5554989699380825, 0.2624283544922177, 0.02208587958717212, 0.4427650345363755, 0.9276691570667623, 0.3956423706234443, 0.6259327542035831, 0.11006036518334139, 0.6023062269607942, 0.4948136464821402, 0.6725551055856996, 0.17902017787348112, 0.25182988597585465, 0.4205467067164935, 0.8508512060806785, 0.7283635781688079, 0.1224046701729723, 0.1945014927475064, 0.09675321909678991, 0.7934507985181739, 0.2498534218987467, 0.5730842967526165, 0.6663326986351182]"
2025-04-07 23:40:15.335077,Casablanca - Ain Sebaa,Nightlife,54.03,Nightlife is too loud on weekends.,"[0.8341438779400523, 0.42890039624440224, 0.13643016858560464, 0.855235250963013, 0.24667268721110625, 0.7885280972652466, 0.20901213559784093, 0.1158030327204771, 0.7349654351488264, 0.16057013288724276, 0.652448295088851, 0.09142118199614047, 0.49764025326742967, 0.911303666666097, 0.38143502780934113, 0.40936388302205007, 0.04101198767056968, 0.4591775944704518, 0.8818590937287463, 0.06368027989706138, 0.2021080448284608, 0.6769118948705457, 0.5536103519449183, 0.4180965352249484, 0.2272997655668898, 0.5757612016526876, 0.8242734746621041, 0.8422235077394247, 0.8651572608248194, 0.13733756808346642, 0.2639611421972844, 0.5595506453120881, 0.40339368633864947, 0.0675512199090742, 0.6661022460281992, 0.2677019664116529, 0.21979841736009542, 0.34630698887278255, 0.6716924438908689, 0.16740648854359608, 0.6034474523272129, 0.6895573161747492, 0.33473376703978996, 0.02270165859363038, 0.07315918938765187, 0.008772828124881782, 0.2904061652922266, 0.5114438522485301, 0.33252375829121816, 0.6535814354250026, 0.7562598019931829, 0.15626936323321927, 0.2676741857101772, 0.9647009773883615, 0.3312827960378889, 0.5219353620309304, 0.6892836934094861, 0.9870683345193421, 0.8655369902258666, 0.07586376005145967, 0.7817702868024465, 0.694099534640376, 0.8366668188737985, 0.08038184241200597, 0.8898272477426411, 0.5330439452194625, 0.6346433176823678, 0.775990505964132, 0.4762001047832969, 0.8457508835692423, 0.986194609161444, 0.9559449684519584, 0.9343700733478127, 0.8341318633701001, 0.23203734962228317, 0.3044615964215076, 0.39057688766149223, 0.4201220110117555, 0.5413699728668464, 0.9895407457174171, 0.7960212626532877, 0.05239210645427472, 0.6312335335049193, 0.31320675711246815, 0.6914092934937356, 0.042978789061306144, 0.7212700205154746, 0.5514155667427157, 0.39901464896058836, 0.049314346826728084, 0.9171792916590337, 0.8977500897451485, 0.47917206354966335, 0.45979636689115, 0.6189200255134442, 0.5353472782983176, 0.8642957956101562, 0.5446759941856477, 0.6892854521333381, 0.8367240512061015]"
2025-04-07 21:57:30.335676,Tangier - Centre Ville,Construction,68.23,Construction noise during working hours is acceptable.,"[0.10356669014694542, 0.7168582908726613, 0.5898719294365596, 0.19387934385272132, 0.9585777780583029, 0.8928433088868634, 0.8682719219321885, 0.18547768712812007, 0.982969690208458, 0.34867281474779754, 0.6434749812608606, 0.634655487744379, 0.9634782330208908, 0.06150796555120297, 0.98508419190824, 0.889571752646042, 0.4058723272905428, 0.4158177452406031, 0.2523378956320689, 0.4816318046795163, 0.4249475733099366, 0.2474975513465738, 0.8172472798801811, 0.41025184971423523, 0.9502203931726939, 0.7406598482515668, 0.46545122243929204, 0.6502220087589822, 0.04028663143971023, 0.5601311183034301, 0.43288970726920684, 0.538964452520394, 0.6991302776097282, 0.2985180377174833, 0.04961721622551962, 0.8921441307724469, 0.6221208372820162, 0.08646452184797515, 0.7344371493528581, 0.5283958212656106, 0.6534815536465522, 0.8200638222034249, 0.006557508278425939, 0.7465610854421962, 0.20015555321656442, 0.0011607201513063048, 0.985182294893896, 0.3699955385256869, 0.20852721007685793, 0.33987001551455454, 0.32267325734705343, 0.9799279217475546, 0.07707587775953018, 0.558476936032621, 0.9853147975166419, 0.1440054876888226, 0.4442677195302994, 0.04958810212460518, 0.3273037454851333, 0.2970615319175186, 0.7785167949669934, 0.16026813449826005, 0.13344461603263225, 0.6923560712333043, 0.8263676682537554, 0.781403128986626, 0.3407084044420263, 0.12316118350749983, 0.736248473418852, 0.49939348958138974, 2.21897716931041e-05, 0.9950638100238927, 0.4281167809816656, 0.37558697579596423, 0.8185823320082234, 0.26379359556917015, 0.8949611214364067, 0.28424121189808305, 0.5192902650322025, 0.6818520016617428, 0.35182312309491426, 0.8410637256866407, 0.5716953415068404, 0.18896506910410016, 0.9990165492520988, 0.728189278151692, 0.3969340549955094, 0.2607371576345553, 0.3708227301898326, 0.10345765876137447, 0.04758515161097554, 0.7647115137772007, 0.47520801793666667, 0.17406002513684093, 0.36569718573919463, 0.9480436638127326, 0.6099658625894903, 0.6729822751108072, 0.6539704638800261, 0.4424469397968691]"
2025-04-07 23:06:13.335742,Casablanca - Ain Sebaa,Other,51.97,Too noisy at night! Can't sleep!,"[0.39090223789575207, 0.3400575117105775, 0.26891286911348733, 0.46068634206925674, 0.709850415237546, 0.09799925459008452, 0.8928044127390621, 0.964042593965363, 0.12223229792725476, 0.147994916988758, 0.9224431296935605, 0.6520787022992407, 0.14663377353661722, 0.1034674535277681, 0.9833519623500614, 0.9244858130034538, 0.9630373393110517, 0.9944044917365253, 0.2789962440085023, 0.3010580994494566, 0.12899429290786857, 0.5808666151969094, 0.36510816516135036, 0.7994998426897815, 0.17507721218384298, 0.04223924461860329, 0.7331952562462729, 0.6951140914689564, 0.05076127541132469, 0.11049396043422277, 0.5736533211641802, 0.06085053410339414, 0.08915918738381157, 0.46066937036085454, 0.5554232681624464, 0.012725135561080236, 0.7283709869681684, 0.0010587090650531206, 0.37891902967725344, 0.28885822982701437, 0.28055960271796243, 0.5662320721761789, 0.8401312610432404, 0.014738838173768531, 0.13288998964125154, 0.7570785118257048, 0.03557578609378509, 0.5637015730240873, 0.4673497332406774, 0.4751081075465523, 0.789007317256082, 0.7342278609705922, 0.395158762692463, 0.20351210490376093, 0.844748360468424, 0.9814905380527985, 0.8978007044479328, 0.38407070294993007, 0.5291890199026644, 0.7134322921645068, 0.9603759672123023, 0.7469982309872404, 0.8604214143135752, 0.6077276256935822, 0.8823525940286648, 0.20645762391062616, 0.153234472101757, 0.07868100104160214, 0.8053004841030986, 0.6607331739331535, 0.9981480057603255, 0.9531668754409075, 0.7812631456899035, 0.39988338275402746, 0.5236854046556497, 0.547980094071424, 0.7902332486028051, 0.23014243424471237, 0.8749530481883319, 0.3737832542335492, 0.9766145513377179, 0.42221934940382333, 0.3924882753202199, 0.982561655343321, 0.4318064132340973, 0.8046767938281914, 0.46138175344130183, 0.4378599637568311, 0.8780733219871194, 0.8631474580110042, 0.8315781246926356, 0.826087653983831, 0.4167927939530657, 0.012298285601706982, 0.7351650099954864, 0.2695303469010164, 0.35486288472086935, 0.5550478332089197, 0.761234358390038, 0.6037211986817729]"
2025-04-07 22:23:57.335947,Tangier - Centre Ville,Construction,61.08,Nightlife is too loud on weekends.,"[0.48246763917094815, 0.5729615536138526, 0.16394930119902118, 0.36817033421303313, 0.5649558712788253, 0.921879227367853, 0.5782661264356543, 0.31042535213398403, 0.027712181067891528, 0.5966425139473865, 0.6552491559316901, 0.5693708878669623, 0.04222950480588994, 0.961678110164979, 0.9027593389926554, 0.29889963116646456, 0.6169942718174706, 0.3850284973073891, 0.22974308509101826, 0.102394194466638, 0.24921317344345373, 0.5137053994172668, 0.6761578189715282, 0.7553936983167558, 0.12584469113882535, 0.19857530542023216, 0.8070982262462116, 0.38349492879670855, 0.952476443596377, 0.7085013099439819, 0.825569756606632, 0.9252427975088748, 0.15637983406237466, 0.12824241203838393, 0.5279182425987173, 0.5540434109800795, 0.3787452711084922, 0.35553571718934285, 0.9310495981745718, 0.9148190112590078, 0.3439437260498841, 0.8224595316106903, 0.12549207256421857, 0.7515948603097938, 0.2806599417232325, 0.3963210901164699, 0.7185418046746844, 0.5884739963765654, 0.14911943900988056, 0.4039074645036408, 0.7567744294040953, 0.633036173261553, 0.2516250744260916, 0.5927918485317771, 0.06555375027826571, 0.6087154168692637, 0.9788306297630208, 0.49202489584113673, 0.5197950457811199, 0.22239913410771361, 0.35733535692932694, 0.22906152426674664, 0.16962583662180208, 0.5700580354200312, 0.3487015836486316, 0.4860701076437064, 0.19009238948310536, 0.5011271007903528, 0.11680889329887523, 0.12846549711428135, 0.9657795159036445, 0.5263446759004418, 0.8905816475282194, 0.26851270016549433, 0.7246607448800821, 0.3478950587526929, 0.8375874577414346, 0.49021431692630435, 0.9599200650833974, 0.1826356216065076, 0.8021254452078884, 0.4502423329302714, 0.5192567243954808, 0.6230978558655046, 0.48210875869519376, 0.5637890874882437, 0.9208955611417925, 0.8157344185252337, 0.6249999372465391, 0.5597851965097558, 0.2559867861582945, 0.8663717670533347, 0.8914137681080638, 0.9704987313880746, 0.26533612798392203, 0.5701597600105237, 0.851315622213033, 0.9404329669394524, 0.3995295869334442, 0.2583667356053154]"
2025-04-07 23:28:51.336002,Rabat - Agdal,Construction,82.54,Nightlife is too loud on weekends.,"[0.32208650681313333, 0.7130797046437329, 0.5570324500190202, 0.26524327408125126, 0.4745456917974734, 0.5478903738883812, 0.1423800151797363, 0.16837130920770538, 0.7739001511708828, 0.3573048056872694, 0.7871961027581053, 0.9311908476134017, 0.36069866063781053, 0.1581048671255838, 0.5513078555318333, 0.28132750632476244, 0.8481468631452749, 0.11384957767157877, 0.04634203080208632, 0.12133921882755694, 0.01022099785700481, 0.5131545119159012, 0.05503112135260502, 0.5599656650944714, 0.4889072327016821, 0.19142232238050427, 0.6726656582248383, 0.21259666786448506, 0.8062348292887604, 0.9183952984371481, 0.6249417850679273, 0.9927819647557664, 0.8307541009767898, 0.5405025619186272, 0.3548102290631511, 0.4294843114349356, 0.9410589573967395, 0.23113798346815018, 0.926101231684325, 0.0789180029598121, 0.17947165892015104, 0.4710388330192882, 0.866320932267529, 0.21464055400246396, 0.7536755669753656, 0.9018573581957029, 0.4843617973220826, 0.00935977295213919, 0.6743396599625355, 0.569050183433748, 0.5260345226201256, 0.7953649406829155, 0.7029760396424318, 0.6745807180639383, 0.6620824198100473, 0.6956397902019533, 0.6769220261912549, 0.9017383565220094, 0.8107858531885003, 0.6210972505968134, 0.19866241443724852, 0.6300344507181822, 0.6158489425829681, 0.8983213766541207, 0.4646760791735991, 0.6405952625213182, 0.8993114841609946, 0.5515360537650124, 0.5569228986037772, 0.5230055258055935, 0.5711224779196906, 0.04884006694082532, 0.7785263365266192, 0.7757228455265597, 0.8575105963157393, 0.9259490828295716, 0.4549914293456572, 0.6518954303396081, 0.3451138442292644, 0.9612293145631541, 0.8047297742552197, 0.202836767150827, 0.3585514451676629, 0.7418337659210945, 0.6128239606479432, 0.35939109970482896, 0.6632207659852192, 0.004447464642337029, 0.9710305736266078, 0.05162639910546585, 0.5598802067216875, 0.10923255316287428, 0.4204455425498379, 0.5002508945585356, 0.6265809704509943, 0.9427924620452212, 0.024897725686276462, 0.9409486536957883, 0.9121548373075079, 0.95661871853055]"
2025-04-07 22:13:39.336038,Casablanca - Maarif,Nightlife,80.98,Traffic is unbearable in the mornings.,"[0.716974854595077, 0.44080934702152574, 0.8093488151739653, 0.7323047969547948, 0.5965593926009248, 0.9968655025893156, 0.030016732058959605, 0.5376740715878993, 0.21344545371006285, 0.6588684141655267, 0.6516202101561641, 0.9993080490390052, 0.32926972313873126, 0.9212187002860626, 0.8559112342062327, 0.5125074473263806, 0.2527079939767256, 0.6012476030622057, 0.0063422608840556505, 0.06905915058345347, 0.025806622141044122, 0.8990207042933275, 0.20558845846974405, 0.8789983255105881, 0.028342289558565326, 0.10473398768273812, 0.10032977870019155, 0.7174784251443027, 0.9190144331904632, 0.5725371146225738, 0.8867439497631094, 0.6797283581251742, 0.011980793492006203, 0.5384278393721934, 0.40187544563909927, 0.595687212497742, 0.9316906284122927, 0.6200251178080618, 0.6596337335741977, 0.2686937882924526, 0.5338593330748125, 0.8500630027521543, 0.7833393935554497, 0.9905420737346456, 0.05276531848258015, 0.6303493630335852, 0.5824078688588459, 0.11542890123769867, 0.593574329333599, 0.5705058047756782, 0.8572857259953798, 0.9398411090792853, 0.6148885304235177, 0.46479974551784287, 0.6307043973506661, 0.3731245968517055, 0.4029017941958444, 0.11554064590946056, 0.4971483339723023, 0.15946038327151923, 0.7793867283420153, 0.8160324059090697, 0.1816942259231611, 0.6514893870794927, 0.8014392595617899, 0.2894342379347783, 0.5629205362108619, 0.8898709115250506, 0.29863970170899334, 0.9073967777192201, 0.615252434511375, 0.16107940437134016, 0.03864546831299798, 0.18909925147854045, 0.937839892069587, 0.23158446198002725, 0.7018547659699876, 0.9747682813672072, 0.15825485369619063, 0.35728059680322344, 0.6756476616457168, 0.9352492328150241, 0.0022746339869187393, 0.4559754859938764, 0.3165057286262789, 0.6178763701895739, 0.8926294850725274, 0.9063077382237541, 0.6280094038778428, 0.3930575462396374, 0.6865303435782726, 0.9956623988952678, 0.6413374561344298, 0.8509934536488516, 0.5873868767456812, 0.4076775209857382, 0.11210336207475635, 0.8917000143789616, 0.38756844757010145, 0.7399671869069359]"
2025-04-07 23:44:59.336243,Tangier - Centre Ville,Industrial,71.55,Traffic is unbearable in the mornings.,"[0.5978251884245321, 0.25674095953928533, 0.47855958816885635, 0.9272909507916157, 0.16803050426214683, 0.846537295346278, 0.3308096205405501, 0.2619107343336886, 0.7816630869716409, 0.23833042636566715, 0.7966839344635952, 0.2540230763473744, 0.6075418225533957, 0.3097234301302718, 0.9027170558855313, 0.21927747121605146, 0.3412095593409934, 0.6550345998483271, 0.18512891728271197, 0.6536106032587946, 0.40574517665195753, 0.8887488906882605, 0.17899619666721778, 0.2995552432425712, 0.045091013002525826, 0.2320075141803034, 0.6271457256023412, 0.47165618317784486, 0.816110367736426, 0.542671219100382, 0.3548885214134482, 0.8062416275095418, 0.40594446859185673, 0.4009818285291892, 0.6639685338026369, 0.7883760612829327, 0.6778019223948148, 0.5734003831244674, 0.92516364607104, 0.4934699192724573, 0.6003087890535896, 0.7769189068898021, 0.49026951091454707, 0.6944831144561663, 0.2341647714423848, 0.5626475125696268, 0.5395692023063628, 0.6614821797424225, 0.029189391291371547, 0.5959857525048577, 0.48860022275606774, 0.9777757409753289, 0.517845354188666, 0.8480374578244587, 0.8689342517124744, 0.6369525075283431, 0.9270650628971955, 0.28473482089814817, 0.8221954465098282, 0.8736645662376025, 0.3405056280242714, 0.30328490898087057, 0.012659782592307933, 0.5020682742602628, 0.5522096266194367, 0.3258604751571026, 0.3822873769707117, 0.7686966054764416, 0.5045597518845245, 0.6198337159086046, 0.18722180963770174, 0.5317991899023649, 0.2040770306886882, 0.5991187390803566, 0.9825647117248919, 0.49584839209904197, 0.8226687633279753, 0.7341860526377735, 0.4897206999056447, 0.9404618931797144, 0.5881803039849632, 0.030413056648948777, 0.4534223407416673, 0.19707809156245848, 0.43209159995205737, 0.5691541489818075, 0.41610205404528067, 0.1757809646285866, 0.4467835211843748, 0.15087935471640834, 0.48842809960593636, 0.04472378247973019, 0.9171531705827544, 0.8771296660369973, 0.17581113301630347, 0.6564492587175963, 0.005870119901979054, 0.9838667188855511, 0.5532909305275379, 0.3107013165866872]"
2025-04-07 22:13:19.336269,Casablanca - Maarif,Nightlife,98.88,Traffic is unbearable in the mornings.,"[0.5092774077378414, 0.6803865717853969, 0.4562671187475841, 0.6302221393526066, 0.3298204338366262, 0.11432349118745389, 0.29803738209350117, 0.32573935397555076, 0.6964431434603033, 0.9250552017362761, 0.35892144085033584, 0.37191878062759454, 0.8468415457101526, 0.6610797579849271, 0.34364354434976274, 0.18325470964584278, 0.878365037698671, 0.3495883624482351, 0.9994158293700295, 0.6952738585093673, 0.9990390134037084, 0.20603933357477044, 0.18721930941198772, 0.6714516744598319, 0.31203381201714486, 0.786187167333423, 0.4564099900308851, 0.17496117299118874, 0.8694361488973396, 0.8301423012311587, 0.8396576874752357, 0.735590894993715, 0.6243017268600118, 0.9361416433922223, 0.8209103866420652, 0.3037892488318398, 0.08185638913763826, 0.41252793747718564, 0.8659290655058174, 0.06110903950886948, 0.5352619033066681, 0.5340252846351978, 0.9400353096993025, 0.6096620927021863, 0.96548396078745, 0.1743461368075827, 0.33719782706398627, 0.8994791931424003, 0.2514641369269356, 0.8667206750756885, 0.0032092599707495006, 0.893654411278235, 0.06827370624692963, 0.03942627005270516, 0.5595598270712215, 0.7168504644641223, 0.0605783229090705, 0.10631892414315358, 0.07244757621697562, 0.4680579251300133, 0.13879721459534322, 0.9313495742142526, 0.6810395270487763, 0.9081520310993761, 0.2502091087026712, 0.60788602408368, 0.7010054523476651, 0.6115767506033647, 0.3414540306220837, 0.3136925112201008, 0.30848835711937095, 0.6159801982654959, 0.16458644345977758, 0.2645065596669889, 0.244938626220926, 0.6449188851698108, 0.6575458119852993, 0.5746713872475874, 0.4683679315801206, 0.8361532426601461, 0.4061004718430373, 0.36397789071951814, 0.6764256500045387, 0.7129413114372016, 0.09967523208799312, 0.04531243504386817, 0.5383151987710623, 0.5492786861767975, 0.3026710094069517, 0.6705909164843978, 0.31236518923687984, 0.41971363435787024, 0.9253795936109931, 0.9569097955829268, 0.845405158158819, 0.2187028212675275, 0.05111114880670453, 0.37883720191270365, 0.06261550623917778, 0.6150020177131675]"
2025-04-07 23:00:35.336312,Rabat - Agdal,Other,69.01,Noise is low in this area.,"[0.6318890638793313, 0.42894656666516395, 0.6979420776435122, 0.6096818561364927, 0.5696160436827389, 0.2320803261103105, 0.7640090771577516, 0.9106766369751226, 0.48564414740657735, 0.6247929110124895, 0.03632598724512459, 0.7003963073992949, 0.310081877272431, 0.64963851721375, 0.44719694855398595, 0.17747521916820697, 0.13989145559633787, 0.5313834978231403, 0.36363937059971096, 0.09143795820792966, 0.8393173311630785, 0.7415589441994032, 0.14529176520199538, 0.35080898113926107, 0.44553932430712584, 0.179296802456559, 0.7793703857219482, 0.37443936050880366, 0.824057292044862, 0.5889036596487169, 0.27933672618446426, 0.5396164839086351, 0.6430369753767157, 0.3492431352123869, 0.08287359479047651, 0.19035146163645722, 0.0558366317984863, 0.0009110983213349577, 0.48204688924196015, 0.9536610912276066, 0.4639893785325212, 0.2216926938678696, 0.8107864922715853, 0.7696381729564925, 0.6103623736912906, 0.10697171101507807, 0.6633159312404133, 0.4086085453143299, 0.49693915576906267, 0.9902937747920002, 0.8533129286031245, 0.2522735464281669, 0.56336209370054, 0.11959485159313665, 0.42761328015243527, 0.12232792197457754, 0.8842828606248072, 0.8490917068552086, 0.7428417276660914, 0.1657653136712972, 0.0694836125217615, 0.354596578943973, 0.6010540247072539, 0.3768156980809044, 0.8563565347338875, 0.045296074723850555, 0.28216465831413884, 0.22550784762922693, 0.11659608710102987, 0.30468846500170377, 0.7362444126640918, 0.1017985961105865, 0.6218127336924987, 0.9751197914032411, 0.6438518433178201, 0.8209320146182951, 0.29563882284078113, 0.25456924058994146, 0.5143795695620481, 0.04713305423110192, 0.5517726761351471, 0.9029012124262404, 0.10661174971420706, 0.5697694510564683, 0.5447902240413911, 0.20825479560647575, 0.22811959485270228, 0.1557062696789978, 0.04578200363952878, 0.8389133523221455, 0.3176151529641501, 0.11128489835799527, 0.9047746292668943, 0.7947542359028614, 0.8048114810310114, 0.6653629119138338, 0.1485554918320121, 0.8806564053518439, 0.6975958063273292, 0.055348453314531976]"
